bibliographicCitation,collectionCode,catalogNumber,family,genus,scientificName,recordNumber,recordedBy,year,month,day,identifiedBy,dateIdentified,det_ok,country,stateProvince,municipality,locality,decimalLongitude,decimalLatitude,Georef
JG Rando,NY,959784,Fabaceae,Chamaecrista,Chamaecrista cinerascens,30058,"Hatschbach, G.",1972,8,8,"Rando, J.G.",,2,Brasil,Minas Gerais,Jaboticatubas,"Serra do Cip—, fazenda Pal‡cio",-43.7447,-19.5136,0
SpeciesLink,UB,127712,Fabaceae,Chamaecrista,Chamaecrista cinerascens,36123,"Anderson, W.R.",1972,2,17,"Rando, J.G",/10/2011,2,Brasil,Minas Gerais,,Serra do Cip—,-43.5675,-19.3916,0
SpeciesLink,SPF,47532,Fabaceae,Chamaecrista,Chamaecrista cinerascens,CFCR10901,"Zappi, D.C.",1987,5,23,"Barneby, R.C.",1988,2,Brasil,Minas Gerais,Santa Barbara,"Serra do Caraa, Caminho para o Mirante.",-43.6399,-20.1074,1
SpeciesLink,SPF,73200,Fabaceae,Chamaecrista,Chamaecrista cinerascens,CFSC12353,"Pirani, J.R.",1991,5,31,"Rando, J.G",27/01/2010,2,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, km 124 da Rodovia Belo Horizonte - Concei‹o do Mato Dentro, Alto do Pal‡cio, curva da estrada ao sul da est‡tua do Velho Juca.",-43.7142,-19.1692,0
SpeciesLink,VIC,43021,Fabaceae,Chamaecrista,Chamaecrista cinerascens,420,"Coutinho, Í.A.C.; et al.",2014,3,24,"Coutinho, Í.A.C.",24/03/2014,1,Brasil,Minas Gerais,,"Serra do Cip—, Rodovia que liga Distrito de Serra do Cip— a Concei‹o de Mato dentro, lado esquerdo pr—ximo a Vellozia gigantea, depois do alojamento do IBAMA, no Alto Pal‡cio. Campo rupestre.",-43.6059,-19.2863,1
SpeciesLink,VIC,45533,Fabaceae,Chamaecrista,Chamaecrista cinerascens,478,"Lima, H.C. de",1978,4,26,"Coutinho, I.A.C.",2/12/15,1,Brasil,Minas Gerais,Morro do Pilar,"Parque Nacional da Serra do Cip—., Pr—ximo entrocamento da estrada para concei‹o do Mato Dentro.",-43.4992,-19.2203,0
SpeciesLink,BHZB,9114,Fabaceae,Chamaecrista,Chamaecrista cinerascens,1615,"Fernandes, M.G.C. et al.",2012,7,12,"Rando, J.G.",/01/2013,1,Brasil,MG,Santana do Riacho,RPPN Brumas do Espinhao e Ermo do GeraIs,-43.7073,19.0421,1
SpeciesLink,UEC,35667,Fabaceae,Chamaecrista,Chamaecrista cinerascens,2198,"Joly, A.B.; Semir, J; Joly, A.M.; Martins, F.",1972,5,27,"Rando, J.G",/10/2009,1,Brazil,Minas Gerais,Jaboticatubas,km 127 ao longo da Rodovia Lagoa Santa - Concei‹o do Mato Dentro - Diamantina.,-43.7447,-19.5136,0
SpeciesLink,JPB,57087,Fabaceae,Chamaecrista,Chamaecrista cinerascens,9114,"Fernandes, M.G.C.; et al.",2009,7,12,"Rando, J.",/01/2013,1,Brasil,Minas Gerais,Santana do Riacho,"RPPN Brumas do Espinhao e Ermo do Gerais, Levantamento flor’stico da RPPN Brumas do Espinhao com duplicata. S/ponto. Duplicata doada para o herb‡rio SPF em 2013",-43.7117,-19.0299,1
SpeciesLink,SPF,78063,Fabaceae,Chamaecrista,Chamaecrista cinerascens,CFSC13041,"Pirani, J.R.",1993,5,1,"Rando, J.G",/10/2009,1,Brasil,Minas Gerais,Santana do Riacho,"Parque Nacional da Serra do Cip—, Ao N da base do IBAMA do Pal‡cio.",-43.6184,-19.3432,1
Reflora,NY,NY00959760,Fabaceae,Chamaecrista,Chamaecrista cinerascens,s.n.,"Stehmann, J.R.",1990,9,11,"Barneby, R.C.",--/--/1995,1,Brazil,Minas Gerais,,"Caraa, Santa B‡rbara. Gruta Pe. Caio",-43.4153,-19.9594,0
SpeciesLink,HUFU,58179,Fabaceae,Chamaecrista,Chamaecrista distichoclada,243,"Hemsing, P.K.B.; Hemsing, P.K.B.; Soares, P.N.; Deus, F.F. & Marzineck, J.",2010,9,21,"Rando, J.G.",24/05/2012,2,Brasil,Minas Gerais,Diamantina,"Parque Estadual do Biribiri, Cachoeira dos Cristais.",-43.602,-18.162,0
SpeciesLink,VIES,28084,Fabaceae,Chamaecrista,Chamaecrista distichoclada,317,"Mello, F.N.A.; Nakajima, J.N.; Rosa, P.O.; Soares, P.N. & Martins, C.A.",2008,5,18,"Rando, J.G.",24/05/2012,2,Brasil,Minas Gerais,Diamantina,"Parque do Biribiri, Cachoeira dos Cristais.",-43.602,-18.157,0
SpeciesLink,HUEFS,124503,Fabaceae,Chamaecrista,Chamaecrista distichoclada,342,"Azevedo, C.",2007,5,26,"Rando, J.G.",/09/2012,1,Brasil,Minas Gerais,S‹o Gonalo do Rio Preto,"Parque Estadual de Rio Preto, parte alta do Parque, ca. 1480 m alt.",-43.333,-18.2,0
SpeciesLink,SPF,226127,Fabaceae,Chamaecrista,Chamaecrista distichoclada,391,"Cota, M.M.T.",2012,6,11,An™nimo,,1,Brasil,Minas Gerais,Diamantina,Campus JK - UFVJM. Trilha margeando o C—rrego Soberbo.,-43.57,-18.198,1
SpeciesLink,HUEFS,234157,Fabaceae,Chamaecrista,Chamaecrista distichoclada,400,"Cota, M.M.T.",2012,7,3,NA,,1,Brasil,Minas Gerais,Diamantina,Campus JK-UFVJM.,-43.569,-18.198,0
SpeciesLink,VIC,45747,Fabaceae,Chamaecrista,Chamaecrista distichoclada,1046,"Kawasaki, M.L. & et al.",1997,10,2,"Rando, J.G.",/11/2011,2,Brasil,Minas Gerais,Diamantina,"Distrito de Biribiri, estrada ao longo do c—rrego",-43.6,-18.249,0
SpeciesLink,SPF,216283,Fabaceae,Chamaecrista,Chamaecrista distichoclada,1230,"Rando, J.G.",2012,6,9,"Rando, J.G.",9/6/12,1,Brasil,Minas Gerais,Diamantina,"Campus da Universidade UFVJM. Pr—ximo ao c—rrego Soberbo, seguindo pela trilha que passa por tr‡s do antigo api‡rio da Universidade. Sobre o morro à esquerda.",-43.569,-18.198,0
SpeciesLink,HUFU,58097,Fabaceae,Chamaecrista,Chamaecrista distichoclada,8351,"Romero, R.; Versiane, A.F.A.; Bacci, L. & Castro, N.M.",2010,9,21,"Rando, J.G.",24/05/2012,2,Brasil,Minas Gerais,Diamantina,"Parque Estadual do Biribiri, Cachoeira dos Cristais.",-43.602,-18.162,0
SpeciesLink,UB,127265,Fabaceae,Chamaecrista,Chamaecrista distichoclada,21729,"Vasconcellos, M.B.",1989,7,4,"Rando, J.G.",2009,2,Brasil,Minas Gerais,Diamantina,15km N de Diamantina,-43.601,-18.108,1
SpeciesLink,UB,127115,Fabaceae,Chamaecrista,Chamaecrista distichoclada,22733,"Irwin, HS",1969,1,27,"Rando, J.G.",/10/2011,2,Brasil,Minas Gerais,Diamantina,"Ca. 12km NE of Diamantina, road to Mendanha",-43.519,-18.178,1
SpeciesLink,MOBOT_BR,3235128,Fabaceae,Chamaecrista,Chamaecrista distichoclada,28269,"Irwin, H.S.; Fonsêca, S.F.; Souza, R.; Reis dos Santos, R.; Ramos, J.",1970,3,24,"Barneby, R.",1981,2,Brazil,Minas Gerais,Diamantina,"Campo, cerrado on outcrops, and wooded valley, ca. 3 km N. of S‹o Jo‹o da Chapada.",-43.739,-18.053,1
JG Rando,HJB,8580,Fabaceae,Chamaecrista,Chamaecrista distichoclada,,Schwacke,1892,3,23,"Rando, J.G.",,1,Brasil,Minas Gerais,Biribi,,-43.617,-18.133,0
JG Rando,HJB,8495,Fabaceae,Chamaecrista,Chamaecrista distichoclada,,"do Amaral, I.B.",1999,5,18,"Rando, J.G.",,1,Brasil,Minas Gerais,S‹o Gonalo do Rio Preto,"Parque Estadual do Rio Preto, IEF",-43.391,-18.004,0
SpeciesLink,UEC,69875,Fabaceae,Chamaecrista,Chamaecrista lagotois,91,"Lucca, M.",1993,9,13,"Hervêncio, P.",/03/2000,2,Brazil,Minas Gerais,Santana do Riacho,"Serra do Cip—., Coletada na regi‹o do Congonhas, abaixo da Casa de Pedra e pr—ximo ao c—rrego Gavi‹o.",-43.7144,-19.1689,0
JG Rando,UEC,,Fabaceae,Chamaecrista,Chamaecrista lagotois,97,"Shimizu, G.",2008,7,25,"Rando, J.G.",,2,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, Trilha dos Escravos, encosta de morro",-43.6025,-19.3147,0
Reflora,NY,NY00960875,Fabaceae,Chamaecrista,Chamaecrista lagotois,1023,"Pereira, M.",1991,9,25,"Cota, M.M.T.",--/--/2015,2,Brazil,Minas Gerais,Santana do Riacho,Parque Nacional Serra do Cip—. Na regiao do Congonhas (AnM4),-43.7144,-19.1689,0
SpeciesLink,SPF,211418,Fabaceae,Chamaecrista,Chamaecrista lagotois,1133,"Rando, J.G.; Nogueira, A.",2012,1,10,"Rando, J.G.",10/1/12,2,Brasil,Minas Gerais,Santana do Riacho,"Parque Nacional da Serra do Cip—, Trilha dos escravos, ca. 500 m a partir do in’cio.",-43.6025,-19.3147,0
JG Rando,SPF,,Fabaceae,Chamaecrista,Chamaecrista lagotois,619,"Rando, J.G.",2008,10,30,"Rando, J.G.",,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, Parque Nacional da Serra do Cip—. Trilha MG010 - C—rrego Gavi‹o. Muitas populaões pr—ximo ao afloramento rochoso e no afloramento, espŽcie bem frequente neste local. Fruto imaturos verdes e maduros marrons.",-43.5815,-19.3423,1
JG Rando,SPF,,Fabaceae,Chamaecrista,Chamaecrista lagotois,,"Giulietti, A.M.",1991,7,28,"Rando, J.G.",,1,Brasil,Minas Gerais,Santana do Riacho,"Parque Nacional da Serra do Cip—, Serra das Bandeirinhas.",-43.7144,-19.1689,0
Reflora,NY,NY00959938,Fabaceae,Chamaecrista,Chamaecrista latifolia,6,"Fernandes, G.W.",1994,9,17,"Barneby, R.C.",--/--/1994,1,Brazil,Minas Gerais,Serra do Cip—,Serra do Cip—,-43.5398,-19.3884,2
JG Rando,SPF,,Fabaceae,Chamaecrista,Chamaecrista latifolia,9,"Groppo, M.",2002,,6,"Rando, J.G.",,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, Alto do Pal‡cio, atr‡s da sede do IBAMA",-43.5312,-19.2598,1
SpeciesLink,SPF,109928,Fabaceae,Chamaecrista,Chamaecrista latifolia,12,"Hervencio, P.",1995,9,3,"Rando, J.G.",/01/2014,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, Estrada de MG-10, km 125, Belo Horizonte - Concei‹o do Mato Dentro. Pr—ximo a est‡tua do Velho Juca.",-43.5519,-19.2586,1
SpeciesLink,HUEFS,173083,Fabaceae,Chamaecrista,Chamaecrista latifolia,25,"Francino, D.M.T.",2009,6,22,"Rando, J.G.",/02/2013,1,Brasil,Minas Gerais,Santana do Riacho,"Estrada para Santana do Riacho, lado direito da estrada, sentido Concei‹o do Mato Dentro, na dire‹o da est‡tua do Juquinha ( Km 121).",-43.5523,-19.2641,1
SpeciesLink,VIC,36947,Fabaceae,Chamaecrista,Chamaecrista latifolia,46,"Coutinho, Í.A.C.; et al.",2012,8,2,"Coutinho, Í.A.C.",2/8/12,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, Pr—ximo ao alojamento do IBAMA no Alto Pal‡cio. Estrada em dire‹o a quem vai para o Distrito de Serra do Cip—, saindo do alojamento. Campo rupestre.",-43.5312,-19.2597,1
SpeciesLink,SPF,209439,Fabaceae,Chamaecrista,Chamaecrista latifolia,76,"Antar, G.M.; Escaramai, M.; Kubo, M.T.; Sano, P.T.; Baleeiro, P.",2012,7,5,"Rando, J.G.",30/09/2014,1,Brasil,Minas Gerais,Santana do Riacho,"Parque Nacional da Serra do Cip—, Trilha para a Cachoeira da Capivara.",-43.522,-19.2268,0
SpeciesLink,SPF,216422,Fabaceae,Chamaecrista,Chamaecrista latifolia,139,"Kubo, M.T.",2012,7,5,"Cota, M.M.T.",/03/2016,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, Trilha para a Cachoeira da Capivara, acesso pela rodovia MG-010.",-43.552,-19.2431,1
SpeciesLink,HUSC,2575,Fabaceae,Chamaecrista,Chamaecrista latifolia,139,"Sakuragui, C.M.; Souza, V.C.",1990,8,4,"Rando, J.G.",,2,Brasil,Minas Gerais,Serra do Cip—,Santana do Riacho. Fazenda cachoeira da Capivara,-43.545,-19.2492,0
Reflora,NY,NY00978616,Fabaceae,Chamaecrista,Chamaecrista latifolia,972,"Kawasaki, M.L.",1997,5,23,"Barneby, R.C.",--/--/1997,1,Brazil,Minas Gerais,Catas Altas,Serra do Caraa. Trilha do Pico da Carapua,-43.4503,-20.0855,1
Reflora,NY,NY00978617,Fabaceae,Chamaecrista,Chamaecrista latifolia,982,"Kawasaki, M.L.",1997,5,24,"Barneby, R.C.",--/--/1997,1,Brazil,Minas Gerais,Catas Altas,Serra do Caraa. Trilha do Pico do Inficionado,-43.4545,-20.1339,1
JG Rando,BHCB,,Fabaceae,Chamaecrista,Chamaecrista latifolia,1015,"Pereira, M.",1992,8,16,"Rando, J.G.",,2,Brasil,Minas Gerais,Santana do Riacho,"Parque Nacional da Serra do Cip—, coletada à 3 km da portaria do IBAMA - Alto do Pal‡cio. Regi‹o das canelas de ema gigantes",-43.5176,-19.2551,1
SpeciesLink,HUEFS,186852,Fabaceae,Chamaecrista,Chamaecrista latifolia,1024,"Rando, J.G.",2011,10,14,"Cota, M.M.T.",/12/2016,2,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—. Rodovia MG -10, sentido Santana do Riacho - Morro do Pilar, ca. de 1,3 km depois da Est‡tua do Juquinha, depois da curva com da planta‹o de Eucaliptus. Margem esquerda da Rodovia.",-43.5406,-19.2522,1
SpeciesLink,SPF,152419,Fabaceae,Chamaecrista,Chamaecrista latifolia,1077,"Groppo, M.",2002,6,9,"Rando, J.G.",/01/2014,2,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, Alto do Pal‡cio, atr‡s da sede do IBAMA. Na beira de riacho.",-43.5311,-19.2599,1
SpeciesLink,SPF,211432,Fabaceae,Chamaecrista,Chamaecrista latifolia,1127,"Rando, J.G.; Nogueira, A.",2012,1,9,"Rando, J.G.",30/09/2014,2,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, Margem do c—rrego atr‡s da est‡tua do Juquinha.",-43.5531,-19.2582,1
SpeciesLink,SPF,216274,Fabaceae,Chamaecrista,Chamaecrista latifolia,1226,"Rando, J.G.",2012,6,8,"Rando, J.G.",8/6/12,2,Brasil,Minas Gerais,Morro do Pilar,"Parque Nacional da Serra do Cip—, MG 010, ca. 100 m do trevo que vai para Morro do Pilar, beira da rodovia, lado direito da estrada.",-43.5541,-19.2594,0
SpeciesLink,SPF,216277,Fabaceae,Chamaecrista,Chamaecrista latifolia,1250,"Rando, J.G.",2012,6,12,"Rando, J.G.",12/1/12,2,Brasil,Minas Gerais,Santo Ant™nio do Itambé,"Parque Estadual do Pico do ItambŽ, Subida do pico, na trilha.",-43.3194,-18.401,0
Reflora,NY,NY00978618,Fabaceae,Chamaecrista,Chamaecrista latifolia,1391,"Mello-Silva, R. ",1997,5,28,"Barneby, R.C.",,1,Brazil,Minas Gerais,,Serra do Ouro Branco,-43.6456,-20.5039,0
SpeciesLink,BHZB,9107,Fabaceae,Chamaecrista,Chamaecrista latifolia,1583,"Fernandes, M.G.C. et al.",2012,7,11,"Rando, J.G.",/01/2013,1,Brasil,MG,Santana do Riacho,RPPN Brumas do Espinhao e Ermo do GeraIs,-43.7172,-19.0331,0
JG Rando,BHCB,,Fabaceae,Chamaecrista,Chamaecrista latifolia,2110,"Motta, R.C.",2002,9,13,"Rando, J.G.",,2,Brasil,Minas Gerais,Concei‹o do Mato Dentro,Parque Natural Municipal de Ribeir‹o do Campo,-43.5973,-19.1055,0
SpeciesLink,US,2281543,Fabaceae,Chamaecrista,Chamaecrista latifolia,2447,"Irwin, H.S.",1959,1,13,"Souza, A. O.",,2,Brazil,Minas Gerais,Jaboticatubas,"Serra do cipo, 60 km w of morro do pilar, on road to s. jose do almeido",-43.7961,-19.4232,1
JG Rando,UEC,,Fabaceae,Chamaecrista,Chamaecrista latifolia,2791,"Semir, J.",1972,9,22,"Rando, J.G.",,1,Brasil,Minas Gerais,Jaboticatubas,"Serra do Cip—, km 142 ao longo da Rodovia Lagoa Santa - Concei‹o do Mato Dentro.",-43.745,-19.5136,2
Reflora,NY,NY00978615,Fabaceae,Chamaecrista,Chamaecrista latifolia,4069,"Arbo, M.M.",1990,5,14,"Barneby, R.C.",--/--/1990,1,Brazil,Minas Gerais,,"Cascatinha, Serra do Caraca, SW de Catas  Altas.",-43.45,-20.08,0
Reflora,NY,NY00978600,Fabaceae,Chamaecrista,Chamaecrista latifolia,4316,"Arbo, M.M.",1990,5,17,"Barneby, R.C.",--/--/1990,1,Brazil,Minas Gerais,,"alrededores de Itapanhoacanga, base de la Serra do Espinhao",-43.45,-18.77,0
Reflora,NY,NY00978599,Fabaceae,Chamaecrista,Chamaecrista latifolia,4961,"Arbo, M.M.",1991,2,12,"Barneby, R.C.",,1,Brazil,Minas Gerais,,"Serra do Cipo. Retiro do Alto do Palacio, 25 km NE de Cardeal Mota camino a Conceiao do Mato Dentro",-43.5573,-19.2455,1
SpeciesLink,SPF,217140,Fabaceae,Chamaecrista,Chamaecrista latifolia,6591,"Verdi, M.",2013,10,15,"Cota, M.M.T.",/04/2015,1,Brasil,Minas Gerais,Morro do Pilar,"Parque Nacional da Serra do Cip—, Alto Pal‡cio; trilha para as Vellozia gigantea.",-43.5189,-19.2472,0
SpeciesLink,JPB,57091,Fabaceae,Chamaecrista,Chamaecrista latifolia,9107,"Fernandes, M.G.C.; et al.",2012,7,11,"Rando, J.G.",/01/2013,1,Brasil,Minas Gerais,Santana do Riacho,"RPPN Brumas do Espinhao e Ermo do Gerais, Levantamento flor’stico da RPPN Brumas do Espinhao com duplicata. Caule quadrangular. Est’pulas persistentes. Ponto 103, 635004 7895005 1355m. C‡lice avermelhado",-43.7073,-19.0421,1
SpeciesLink,SPF,119347,Fabaceae,Chamaecrista,Chamaecrista latifolia,11609,"Souza, V.C.",1996,7,4,"Rando, J.G.",30/09/2014,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, Fazenda Cachoeira da Capivara.",-43.545,-19.2492,0
SpeciesLink,UB,127126,Fabaceae,Chamaecrista,Chamaecrista latifolia,20500,"Irwin, H.S.",1968,2,19,"Cota, M.M.T.",29/01/2016,2,Brasil,Minas Gerais,,Km 135 (ca. 150 km N of Belo Horizonte),-43.38,-18.82,0
SpeciesLink,US,2801644,Fabaceae,Chamaecrista,Chamaecrista latifolia,21881,"Irwin, H.S.; Santos, R.G.P.; Souza, R. & Fonsêca, S.F.",1969,1,13,"Souza, A.O.",,2,Brazil,Minas Gerais,,Serra do Espinhaco. Ca. 27 km S.W. of Diamantina on road to Gouveia,-43.6928,-18.4205,0
SpeciesLink,HUEFS,76658,Fabaceae,Chamaecrista,Chamaecrista latifolia,25093,"Souza, V.C.",2001,7,5,"Cota, M.M.T.",/12/2016,2,Brasil,Minas Gerais,Santana do Riacho,Serra do Cip—.. Rodovia Belo Horizontte - Concei‹o do Mato dentro. Or—ximo à bifurca‹o paara Morro Pilar.,-43.4992,-19.2203,0
SpeciesLink,SPF,193534,Fabaceae,Chamaecrista,Chamaecrista latifolia,25158,"Souza, V.C.",2001,7,5,"Rando, J.G.",30/09/2014,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, Fazenda Cachoeira da Capivara.",-43.545,-19.2492,0
Reflora,MBM,MBM023174,Fabaceae,Chamaecrista,Chamaecrista latifolia,30077,"Hatschbach, G.",0,0,8,"Barneby, R.C.",,2,Brazil,Minas Gerais,Jaboticatubas,"Serra do Cip—, Fazenda Pal‡cio",-43.7447,-19.5136,0
Reflora,MBM,MBM024293,Fabaceae,Chamaecrista,Chamaecrista latifolia,31560,"Hatschbach, G.",0,0,14,"Barneby, R.C.",,1,Brazil,Minas Gerais,Jaboticatubas,"Serra do Cip—, Fazenda Pal‡cio",-43.7447,-19.5136,0
SpeciesLink,UB,127132,Fabaceae,Chamaecrista,Chamaecrista latifolia,35811,"Anderson, W.R.",1972,2,11,"Cota, M.M.T.",29/01/2016,2,Brasil,Minas Gerais,Santo Antônio do Itambé,Eastern slopes of Pico do ItambŽ,-43.3067,-18.4658,0
SpeciesLink,US,2373423,Fabaceae,Chamaecrista,Chamaecrista latifolia,49056,"Maguire, B.; Magalhaes, G.M. & Magalhaes, C.K.",1960,8,7,"Souza, A.O.",,2,Brazil,Minas Gerais,Santana do Riacho,"Serra do cipo, km 112-128 along road from hotel chapeu do sol",-43.7144,-19.1689,0
JG Rando,MBM,104072,Fabaceae,Chamaecrista,Chamaecrista latifolia,49747,"Hatschbach, G.",1985,9,16,"Rando, J.G.",,2,Brasil,Minas Gerais,Gouveia,"BR 259, em dire‹o à Datas",-43.7333,-18.45,0
SpeciesLink,CEPEC,48618,Fabaceae,Chamaecrista,Chamaecrista latifolia,53098,"Hatschbach, G.",1989,5,22,"Coutinho, I.A.C.",,2,Brasil,Minas Gerais,Gouveia,"BR-259, prox. ao trevo para Datas-MG.",-43.6892,-18.4168,1
JG Rando,UEC,,Fabaceae,Chamaecrista,Chamaecrista latifolia,97-08,"Filliettaz, A.M.",1997,5,6,"Rando, J.G.",,1,Brasil,Minas Gerais,Jaboticatubas,Serra do Cip—,-43.745,-19.5136,2
SpeciesLink,SPF,73188,Fabaceae,Chamaecrista,Chamaecrista latifolia,CFSC12245,"Pirani, J.R.",1991,4,26,"Rando, J.G.",30/09/2014,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, 125 km da Rodovia Belo Horizonte - Concei‹o do Mato Dentro. Eleva‹o frente à est‡tua do Velho Juca.",-43.5511,-19.2583,0
SpeciesLink,SPF,73193,Fabaceae,Chamaecrista,Chamaecrista latifolia,CFSC12337,"Pirani, J.R.",1991,5,31,"Rando, J.G.",30/09/2014,2,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, km 124 da Rodovia Belo Horizonte - Concei‹o do Mato Dentro. Alto do Pal‡cio, curva da estrada ao SUL da est‡tua do Velho Juca.",-43.5533,-19.2606,0
SpeciesLink,SP,145299,Fabaceae,Chamaecrista,Chamaecrista latifolia,CFSC1864,"Joly, A.B.; et al.",1972,4,17,"Mamede, M.C.H.",1989,1,Brasil,Minas Gerais,Jaboticatubas,"Serra do Cip—, km 139 ao longo da rodovia Lagoa Santa-Concei‹o do mato Dentro-Diamantina",-43.745,-19.5136,0
SpeciesLink,SP,145241,Fabaceae,Chamaecrista,Chamaecrista latifolia,CFSC1904,"Joly, A.B.; et al.",1972,4,17,"Mamede, M.C.H.",1989,1,Brasil,Minas Gerais,Jaboticatubas,"Serra do Cip—, km 139 ao longo da rodovia Lagoa Santa-Concei‹o do mato Dentro-Diamantina",-43.745,-19.5136,0
JG Rando,HUEFS,,Fabaceae,Chamaecrista,Chamaecrista mucronata,2,"Barros, A.",1997,8,12,"Rando, J.G.",,2,Brasil,Minas Gerais,Brumadinho,Retiro das Pedras,-43.994,-20.087,1
SpeciesLink,SPF,152956,Fabaceae,Chamaecrista,Chamaecrista mucronata,5,"Oliveira, AM",2002,1,31,"Rando, J.G.",/01/2014,2,Brasil,Minas Gerais,Bar‹o de Cocais,,-43.436,-19.886,2
SpeciesLink,OUPR,9118,Fabaceae,Chamaecrista,Chamaecrista mucronata,30,"Ferreira, F.A.",1999,8,28,"Ferreira, F.A.",28/08/1999,2,Brasil,Minas Gerais,Ouro Preto,Cachoeira das Androinhas,-43.488,-20.36,1
Reflora,SPF,SPF00087446,Fabaceae,Chamaecrista,Chamaecrista mucronata,47,"Martens, LA",1989,8,10,Administrador,6/8/19,2,Brasil,Minas Gerais,Brumadinho,Serra da Calada,-44.217,-20.133,2
JG Rando,ESA,82727,Fabaceae,Chamaecrista,Chamaecrista mucronata,76,"Farias, G.L.",1985,7,14,"Rando, J.G.",,2,Brasil,Espírito Santo,Linhares,Reserva Natural da CVRD,-40.072,-19.391,2
JG Rando,HJB,,Fabaceae,Chamaecrista,Chamaecrista mucronata,138,V.F. Dutra,2003,9,30,"Rando, J.G.",,1,Brasil,Minas Gerais,Ouro Preto,"Parque Estadual do Itacolomi, estrada de cima, margem da estrada.",-43.461,-20.431,1
SpeciesLink,HUEFS,63056,Fabaceae,Chamaecrista,Chamaecrista mucronata,168,"Valente, A.S.M.",2002,3,23,"Rando, J.G.",/09/2011,1,Brasil,Minas Gerais,Lima Duarte,Concei‹o do Ibitipoca. Parque Estadual do Ibitipoca. Extremidade Norte.,-43.898,-21.704,1
SpeciesLink,OUPR,6515,Fabaceae,Chamaecrista,Chamaecrista mucronata,246,"Roschel, M.B.; Craig, J.",1996,9,18,"Roschel, M.B.",9/10/96,2,Brasil,Minas Gerais,Ouro Preto,"Antônio Pereira, Alegria Sul",-43.489,-20.308,1
Reflora,RB,RB00114147,Fabaceae,Chamaecrista,Chamaecrista mucronata,360,"Faria, S.M.",1990,12,11,Administrador,1/2/17,2,Brasil,Minas Gerais,Ouro Preto,"Campus da Universidade Ouro Preto. Observadas 2 mudas com 30-50 cm de altura, com n—dulos, coletado sementes.",-43.517,-20.391,1
SpeciesLink,SPF,193537,Fabaceae,Chamaecrista,Chamaecrista mucronata,371,"Araújo, AO",2003,1,13,"Rando, J.G.",/10/2009,2,Brasil,Minas Gerais,Ouro Preto,Pico do Itacolomi.,-43.474,-20.428,1
SpeciesLink,BHZB,9378,Fabaceae,Chamaecrista,Chamaecrista mucronata,611,"Ferreira Junior, C.A. et al.",2012,9,12,"Rando, J.G.",/01/2013,1,Brasil,MG,Santana do Riacho,RPPN Brumas do Espinhao e Ermo do Gerais,-43.695,-19.035,0
Reflora,SPF,SPF00213660,Fabaceae,Chamaecrista,Chamaecrista mucronata,636,"Gonella, PM",2013,11,27,Administrador,6/8/19,2,Brasil,Minas Gerais,Conselheiro Pena,"Pico do Padre Ângelo, subindo pela crista sul da montanha.",-41.343,-19.195,0
JG Rando,SPF,,Fabaceae,Chamaecrista,Chamaecrista mucronata,879,"Rando, J.G.",2009,2,12,"Rando, J.G.",,1,Brasil,Minas Gerais,Catas Altas,"MG129 - rodovia de Catas Altas para Mariana,  cerrado pedregoso à beira da rodovia, perturbado.",-43.467,-20.083,2
SpeciesLink,BHZB,3423,Fabaceae,Chamaecrista,Chamaecrista mucronata,1226,"Fernandes, M.G.C.",2001,7,26,"Rando, J.G.",/01/2014,1,Brasil,MG,Ouro Preto,Esta‹o Ecol—gica do Tripu’/ Trilha do Api‡rio-Vila,-43.54,-20.379,1
SpeciesLink,BHZB,3432,Fabaceae,Chamaecrista,Chamaecrista mucronata,1238,"Fernandes, M.G.C.",2001,9,19,"Rando, J.G.",2/12/09,2,Brasil,MG,Ouro Preto,Esta‹o Ecol—gica do Tripu’/ Trilha do Api‡rio- Vila,-43.54,-20.379,1
JG Rando,ESA,82741,Fabaceae,Chamaecrista,Chamaecrista mucronata,1569,"Folli, D.A.",1992,1,27,"Rando, J.G.",,2,Brasil,Espírito Santo,Linhares,Reserva Natural da CVRD,-39.961,-19.139,1
Reflora,RB,RB00115879,Fabaceae,Chamaecrista,Chamaecrista mucronata,2090,"Faria, S.M.",2000,9,17,Administrador,1/2/17,2,Brasil,Minas Gerais,Mariana,"Estrada Samitri. Herbacea, flora‹o amarela, com frutos passados, 2 mudas com n—dulos.",-43.784,-19.88,1
