bibliographicCitation,collectionCode,catalogNumber,scientificName,recordNumber,recordedBy,year,month,day,identifiedBy,dateIdentified,det_ok,country,stateProvince,municipality,locality,decimalLongitude,decimalLatitude,Georef,Qual_data
SpeciesLink,UB,127115,Chamaecrista distichoclada,22733,"Irwin, HS",1969,1,27,"Rando, J.G.",/10/2011,2,Brasil,Minas Gerais,Diamantina,"Ca. 12km NE of Diamantina, road to Mendanha","-43,519","-18,178",1,1
SpeciesLink,MOBOT_BR,3235128,Chamaecrista distichoclada,28269,"Irwin, H.S.; Fonsêca, S.F.; Souza, R.; Reis dos Santos, R.; Ramos, J.",1970,3,24,"Barneby, R.",//1981,2,Brazil,Minas Gerais,Diamantina,"Campo, cerrado on outcrops, and wooded valley, ca. 3 km N. of São João da Chapada.","-43,739","-18,053",1,1
J.G. Rando,HJB,8580,Chamaecrista distichoclada,,Schwacke,1892,3,23,"Rando, J.G.",,1,Brasil,Minas Gerais,Biribi,,"-43,617","-18,133",0,1
J.G. Rando,HJB,8495,Chamaecrista distichoclada,,"do Amaral, I.B.",1999,5,18,"Rando, J.G.",,1,Brasil,Minas Gerais,São Gonçalo do Rio Preto,"Parque Estadual do Rio Preto, IEF","-43,391","-18,004",0,1
SpeciesLink,UEC,69875,Chamaecrista lagotois,91,"Lucca, M.",1993,9,13,"Hervêncio, P.",/03/2000,2,Brazil,Minas Gerais,Santana do Riacho,"Serra do Cipó., Coletada na região do Congonhas, abaixo da Casa de Pedra e próximo ao córrego Gavião.","-437,144","-191,689",0,1
J.G. Rando,UEC,,Chamaecrista lagotois,97,"Shimizu, G.",2008,7,25,"Rando, J.G.",,2,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, Trilha dos Escravos, encosta de morro","-436,025","-193,147",0,1
Reflora,NY,NY00960875,Chamaecrista lagotois,1023,"Pereira, M.",1991,9,25,"Cota, M.M.T.",--/--/2015,2,Brazil,Minas Gerais,Santana do Riacho,Parque Nacional Serra do Cipó. Na regiao do Congonhas (AnM4),"-437,144","-191,689",0,1
SpeciesLink,SPF,211418,Chamaecrista lagotois,1133,"Rando, J.G.; Nogueira, A.",2012,1,10,"Rando, J.G.",10/1/2012,2,Brasil,Minas Gerais,Santana do Riacho,"Parque Nacional da Serra do Cipó, Trilha dos escravos, ca. 500 m a partir do início.","-436,025","-193,147",0,1
J.G. Rando,SPF,,Chamaecrista lagotois,619,"Rando, J.G.",2008,10,30,"Rando, J.G.",,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, Parque Nacional da Serra do Cipó. Trilha MG010 - Córrego Gavião. Muitas populações próximo ao afloramento rochoso e no afloramento, espécie bem frequente neste local. Fruto imaturos verdes e maduros marrons.","-435,815","-193,423",1,1
J.G. Rando,SPF,,Chamaecrista lagotois,,"Giulietti, A.M.",1991,7,28,"Rando, J.G.",,1,Brasil,Minas Gerais,Santana do Riacho,"Parque Nacional da Serra do Cipó, Serra das Bandeirinhas.","-437,144","-191,689",0,1
Reflora,NY,NY00959938,Chamaecrista latifolia,6,"Fernandes, G.W.",1994,9,17,"Barneby, R.C.",--/--/1994,1,Brazil,Minas Gerais,Serra do Cipó,Serra do Cipó,"-435,398","-193,884",2,1
J.G. Rando,SPF,,Chamaecrista latifolia,9,"Groppo, M.",2002,,6,"Rando, J.G.",,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, Alto do Palácio, atrás da sede do IBAMA","-435,312","-192,598",1,1
SpeciesLink,SPF,109928,Chamaecrista latifolia,12,"Hervencio, P.",1995,9,3,"Rando, J.G.",/01/2014,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, Estrada de MG-10, km 125, Belo Horizonte - Conceição do Mato Dentro. Próximo a estátua do Velho Juca.","-435,519","-192,586",1,1
SpeciesLink,HUEFS,173083,Chamaecrista latifolia,25,"Francino, D.M.T.",2009,6,22,"Rando, J.G.",/02/2013,1,Brasil,Minas Gerais,Santana do Riacho,"Estrada para Santana do Riacho, lado direito da estrada, sentido Conceição do Mato Dentro, na direção da estátua do Juquinha ( Km 121).","-435,523","-192,641",1,1
SpeciesLink,VIC,36947,Chamaecrista latifolia,46,"Coutinho, Í.A.C.; et al.",2012,8,2,"Coutinho, Í.A.C.",2/8/2012,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, Próximo ao alojamento do IBAMA no Alto Palácio. Estrada em direção a quem vai para o Distrito de Serra do Cipó, saindo do alojamento. Campo rupestre.","-435,312","-192,597",1,1
SpeciesLink,SPF,209439,Chamaecrista latifolia,76,"Antar, G.M.; Escaramai, M.; Kubo, M.T.; Sano, P.T.; Baleeiro, P.",2012,7,5,"Rando, J.G.",30/09/2014,1,Brasil,Minas Gerais,Santana do Riacho,"Parque Nacional da Serra do Cipó, Trilha para a Cachoeira da Capivara.","-43,522","-192,268",0,1
SpeciesLink,SPF,216422,Chamaecrista latifolia,139,"Kubo, M.T.",2012,7,5,"Cota, M.M.T.",/03/2016,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, Trilha para a Cachoeira da Capivara, acesso pela rodovia MG-010.","-43,552","-192,431",1,1
SpeciesLink,HUSC,2575,Chamaecrista latifolia,139,"Sakuragui, C.M.; Souza, V.C.",1990,8,4,"Rando, J.G.",//,2,Brasil,Minas Gerais,Serra do Cipó,Santana do Riacho. Fazenda cachoeira da Capivara,"-43,545","-192,492",0,1
Reflora,NY,NY00978616,Chamaecrista latifolia,972,"Kawasaki, M.L.",1997,5,23,"Barneby, R.C.",--/--/1997,1,Brazil,Minas Gerais,Catas Altas,Serra do Caraça. Trilha do Pico da Carapuça,"-434,503","-200,855",1,1
Reflora,NY,NY00978617,Chamaecrista latifolia,982,"Kawasaki, M.L.",1997,5,24,"Barneby, R.C.",--/--/1997,1,Brazil,Minas Gerais,Catas Altas,Serra do Caraça. Trilha do Pico do Inficionado,"-434,545","-201,339",1,1
J.G. Rando,BHCB,,Chamaecrista latifolia,1015,"Pereira, M.",1992,8,16,"Rando, J.G.",,2,Brasil,Minas Gerais,Santana do Riacho,"Parque Nacional da Serra do Cipó, coletada à 3 km da portaria do IBAMA - Alto do Palácio. Região das canelas de ema gigantes","-435,176","-192,551",1,1
SpeciesLink,HUEFS,186852,Chamaecrista latifolia,1024,"Rando, J.G.",2011,10,14,"Cota, M.M.T.",/12/2016,2,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó. Rodovia MG -10, sentido Santana do Riacho - Morro do Pilar, ca. de 1,3 km depois da Estátua do Juquinha, depois da curva com da plantação de Eucaliptus. Margem esquerda da Rodovia.","-435,406","-192,522",1,1
SpeciesLink,SPF,152419,Chamaecrista latifolia,1077,"Groppo, M.",2002,6,9,"Rando, J.G.",/01/2014,2,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, Alto do Palácio, atrás da sede do IBAMA. Na beira de riacho.","-435,311","-192,599",1,1
SpeciesLink,SPF,211432,Chamaecrista latifolia,1127,"Rando, J.G.; Nogueira, A.",2012,1,9,"Rando, J.G.",30/09/2014,2,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, Margem do córrego atrás da estátua do Juquinha.","-435,531","-192,582",1,1
SpeciesLink,SPF,216274,Chamaecrista latifolia,1226,"Rando, J.G.",2012,6,8,"Rando, J.G.",8/6/2012,2,Brasil,Minas Gerais,Morro do Pilar,"Parque Nacional da Serra do Cipó, MG 010, ca. 100 m do trevo que vai para Morro do Pilar, beira da rodovia, lado direito da estrada.","-435,541","-192,594",0,1
SpeciesLink,SPF,216277,Chamaecrista latifolia,1250,"Rando, J.G.",2012,6,12,"Rando, J.G.",12/1/2012,2,Brasil,Minas Gerais,Santo Antônio do Itambé,"Parque Estadual do Pico do Itambé, Subida do pico, na trilha.","-433,194","-18,401",0,1
Reflora,NY,NY00978618,Chamaecrista latifolia,1391,"Mello-Silva, R.",1997,5,28,"Barneby, R.C.",,1,Brazil,Minas Gerais,,Serra do Ouro Branco,"-436,456","-205,039",0,1
SpeciesLink,BHZB,9107,Chamaecrista latifolia,1583,"Fernandes, M.G.C. et al.",2012,7,11,"Rando, J.G.",/01/2013,1,Brasil,MG,Santana do Riacho,RPPN Brumas do Espinhaço e Ermo do GeraIs,"-437,172","-190,331",0,1
J.G. Rando,BHCB,,Chamaecrista latifolia,2110,"Motta, R.C.",2002,9,13,"Rando, J.G.",,2,Brasil,Minas Gerais,Conceição do mato Dentro,Parque Natural Municipal de Ribeirão do Campo,"-435,973","-191,055",0,1
SpeciesLink,US,2281543,Chamaecrista latifolia,2447,"Irwin, H.S.",1959,1,13,"Souza, A. O.",//,2,Brazil,Minas Gerais,Jaboticatubas,"Serra do cipo, 60 km w of morro do pilar, on road to s. jose do almeido","-437,961","-194,232",1,1
J.G. Rando,UEC,,Chamaecrista latifolia,2791,"Semir, J.",1972,9,22,"Rando, J.G.",,1,Brasil,Minas Gerais,Jaboticatubas,"Serra do Cipó, km 142 ao longo da Rodovia Lagoa Santa - Conceição do Mato Dentro.","-43,745","-195,136",2,1
Reflora,NY,NY00978615,Chamaecrista latifolia,4069,"Arbo, M.M.",1990,5,14,"Barneby, R.C.",--/--/1990,1,Brazil,Minas Gerais,,"Cascatinha, Serra do Caraca, SW de Catas  Altas.","-43,45","-20,08",0,1
Reflora,NY,NY00978600,Chamaecrista latifolia,4316,"Arbo, M.M.",1990,5,17,"Barneby, R.C.",--/--/1990,1,Brazil,Minas Gerais,,"alrededores de Itapanhoacanga, base de la Serra do Espinhaço","-43,45","-18,77",0,1
Reflora,NY,NY00978599,Chamaecrista latifolia,4961,"Arbo, M.M.",1991,2,12,"Barneby, R.C.",,1,Brazil,Minas Gerais,,"Serra do Cipo. Retiro do Alto do Palacio, 25 km NE de Cardeal Mota camino a Conceiçao do Mato Dentro","-435,573","-192,455",1,1
SpeciesLink,SPF,217140,Chamaecrista latifolia,6591,"Verdi, M.",2013,10,15,"Cota, M.M.T.",/04/2015,1,Brasil,Minas Gerais,Morro do Pilar,"Parque Nacional da Serra do Cipó, Alto Palácio; trilha para as Vellozia gigantea.","-435,189","-192,472",0,1
SpeciesLink,JPB,57091,Chamaecrista latifolia,9107,"Fernandes, M.G.C.; et al.",2012,7,11,"Rando, J.G.",/01/2013,1,Brasil,Minas Gerais,Santana do Riacho,"RPPN Brumas do Espinhaço e Ermo do Gerais, Levantamento florístico da RPPN Brumas do Espinhaço com duplicata. Caule quadrangular. Estípulas persistentes. Ponto 103, 635004 7895005 1355m. Cálice avermelhado","-437,073","-190,421",1,1
SpeciesLink,SPF,119347,Chamaecrista latifolia,11609,"Souza, V.C.",1996,7,4,"Rando, J.G.",30/09/2014,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, Fazenda Cachoeira da Capivara.","-43,545","-192,492",0,1
SpeciesLink,UB,127126,Chamaecrista latifolia,20500,"Irwin, H.S.",1968,2,19,"Cota, M.M.T.",29/01/2016,2,Brasil,Minas Gerais,,Km 135 (ca. 150 km N of Belo Horizonte),"-43,38","-18,82",0,1
SpeciesLink,US,2801644,Chamaecrista latifolia,21881,"Irwin, H.S.; Santos, R.G.P.; Souza, R. & Fonsêca, S.F.",1969,1,13,"Souza, A.O.",//,2,Brazil,Minas Gerais,,Serra do Espinhaco. Ca. 27 km S.W. of Diamantina on road to Gouveia,"-436,928","-184,205",0,1
SpeciesLink,HUEFS,76658,Chamaecrista latifolia,25093,"Souza, V.C.",2001,7,5,"Cota, M.M.T.",/12/2016,2,Brasil,Minas Gerais,Santana do Riacho,Serra do Cipó.. Rodovia Belo Horizontte - Conceição do Mato dentro. Oróximo à bifurcação paara Morro Pilar.,"-434,992","-192,203",0,1
SpeciesLink,SPF,193534,Chamaecrista latifolia,25158,"Souza, V.C.",2001,7,5,"Rando, J.G.",30/09/2014,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, Fazenda Cachoeira da Capivara.","-43,545","-192,492",0,1
Reflora,MBM,MBM023174,Chamaecrista latifolia,30077,"Hatschbach, G.",0,0,8,"Barneby, R.C.",,2,Brazil,Minas Gerais,Jaboticatubas,"Serra do Cipó, Fazenda Palácio","-437,447","-195,136",0,1
Reflora,MBM,MBM024293,Chamaecrista latifolia,31560,"Hatschbach, G.",0,0,14,"Barneby, R.C.",,1,Brazil,Minas Gerais,Jaboticatubas,"Serra do Cipó, Fazenda Palácio","-437,447","-195,136",0,1
SpeciesLink,UB,127132,Chamaecrista latifolia,35811,"Anderson, W.R.",1972,2,11,"Cota, M.M.T.",29/01/2016,2,Brasil,Minas Gerais,Santo Antônio do Itambé,Eastern slopes of Pico do Itambé,"-433,067","-184,658",0,1
SpeciesLink,US,2373423,Chamaecrista latifolia,49056,"Maguire, B.; Magalhaes, G.M. & Magalhaes, C.K.",1960,8,7,"Souza, A.O.",//,2,Brazil,Minas Gerais,Santana do Riacho,"Serra do cipo, km 112-128 along road from hotel chapeu do sol","-437,144","-191,689",0,1
J.G. Rando,MBM,104072,Chamaecrista latifolia,49747,"Hatschbach, G.",1985,9,16,"Rando, J.G.",,2,Brasil,Minas Gerais,Gouveia,"BR 259, em direção à Datas","-437,333","-18,45",0,1
SpeciesLink,CEPEC,48618,Chamaecrista latifolia,53098,"Hatschbach, G.",1989,5,22,"Coutinho, I.A.C.",,2,Brasil,Minas Gerais,GOUVEIA,"BR-259, prox. ao trevo para Datas-MG.","-436,892","-184,168",1,1
J.G. Rando,UEC,,Chamaecrista latifolia,97-08,"Filliettaz, A.M.",1997,5,6,"Rando, J.G.",,1,Brasil,Minas Gerais,Jaboticatubas,Serra do Cipó,"-43,745","-195,136",2,1
SpeciesLink,SPF,73188,Chamaecrista latifolia,CFSC12245,"Pirani, J.R.",1991,4,26,"Rando, J.G.",30/09/2014,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, 125 km da Rodovia Belo Horizonte - Conceição do Mato Dentro. Elevação frente à estátua do Velho Juca.","-435,511","-192,583",0,1
SpeciesLink,SPF,73193,Chamaecrista latifolia,CFSC12337,"Pirani, J.R.",1991,5,31,"Rando, J.G.",30/09/2014,2,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, km 124 da Rodovia Belo Horizonte - Conceição do Mato Dentro. Alto do Palácio, curva da estrada ao SUL da estátua do Velho Juca.","-435,533","-192,606",0,1
SpeciesLink,SP,145299,Chamaecrista latifolia,CFSC1864,"Joly, A.B.; et al.",1972,4,17,"Mamede, M.C.H.",//1989,1,Brasil,Minas Gerais,Jaboticatubas,"Serra do Cipó, km 139 ao longo da rodovia Lagoa Santa-Conceição do mato Dentro-Diamantina","-43,745","-195,136",0,1
SpeciesLink,SP,145241,Chamaecrista latifolia,CFSC1904,"Joly, A.B.; et al.",1972,4,17,"Mamede, M.C.H.",//1989,1,Brasil,Minas Gerais,Jaboticatubas,"Serra do Cipó, km 139 ao longo da rodovia Lagoa Santa-Conceição do mato Dentro-Diamantina","-43,745","-195,136",0,1
J.G. Rando,HUEFS,,Chamaecrista mucronata,2,"Barros, A.",1997,8,12,"Rando, J.G.",,2,Brasil,Minas Gerais,Brumadinho,Retiro das Pedras,"-43,994","-20,087",1,1
SpeciesLink,SPF,152956,Chamaecrista mucronata,5,"Oliveira, AM",2002,1,31,"Rando, J.G.",/01/2014,2,Brasil,Minas Gerais,Barão de Cocais,,"-43,436","-19,886",2,1
SpeciesLink,OUPR,9118,Chamaecrista mucronata,30,"Ferreira, F.A.",1999,8,28,"Ferreira, F.A.",28/08/1999,2,Brasil,Minas Gerais,Ouro Preto,Cachoeira das Androinhas,"-43,488","-20,36",1,1
Reflora,SPF,SPF00087446,Chamaecrista mucronata,47,"Martens, LA",1989,8,10,Administrador,6/8/2019,2,Brasil,Minas Gerais,Brumadinho,Serra da Calçada,"-44,217","-20,133",2,1
J.G. Rando,ESA,82727,Chamaecrista mucronata,76,"Farias, G.L.",1985,7,14,"Rando, J.G.",,2,Brasil,Espírito Santo,Linhares,Reserva Natural da CVRD,"-40,072","-19,391",2,1
J.G. Rando,HJB,,Chamaecrista mucronata,138,V.F. Dutra,2003,9,30,"Rando, J.G.",,1,Brasil,Minas Gerais,Ouro Preto,"Parque Estadual do Itacolomi, estrada de cima, margem da estrada.","-43,461","-20,431",1,1
SpeciesLink,HUEFS,63056,Chamaecrista mucronata,168,"Valente, A.S.M.",2002,3,23,"Rando, J.G.",/09/2011,1,Brasil,Minas Gerais,Lima Duarte,Conceição do Ibitipoca. Parque Estadual do Ibitipoca. Extremidade Norte.,"-43,898","-21,704",1,1
SpeciesLink,OUPR,6515,Chamaecrista mucronata,246,"Roschel, M.B.; Craig, J.",1996,9,18,"Roschel, M.B.",9/10/1996,2,Brasil,Minas Gerais,Ouro Preto,"Antônio Pereira, Alegria Sul","-43,489","-20,308",1,1
Reflora,RB,RB00114147,Chamaecrista mucronata,360,"Faria, S.M.",1990,12,11,Administrador,1/2/2017,2,Brasil,Minas Gerais,Ouro Preto,"Campus da Universidade Ouro Preto. Observadas 2 mudas com 30-50 cm de altura, com nódulos, coletado sementes.","-43,517","-20,391",1,1
SpeciesLink,SPF,193537,Chamaecrista mucronata,371,"Araújo, AO",2003,1,13,"Rando, J.G.",/10/2009,2,Brasil,Minas Gerais,Ouro Preto,Pico do Itacolomi.,"-43,474","-20,428",1,1
SpeciesLink,BHZB,9378,Chamaecrista mucronata,611,"Ferreira Junior, C.A. et al.",2012,9,12,"Rando, J.G.",/01/2013,1,Brasil,MG,Santana do Riacho,RPPN Brumas do Espinhaço e Ermo do Gerais,"-43,695","-19,035",0,1
Reflora,SPF,SPF00213660,Chamaecrista mucronata,636,"Gonella, PM",2013,11,27,Administrador,6/8/2019,2,Brasil,Minas Gerais,Conselheiro Pena,"Pico do Padre Ângelo, subindo pela crista sul da montanha.","-41,343","-19,195",0,1
J.G. Rando,SPF,,Chamaecrista mucronata,879,"Rando, J.G.",2009,2,12,"Rando, J.G.",,1,Brasil,Minas Gerais,Catas Altas,"MG129 - rodovia de Catas Altas para Mariana,  cerrado pedregoso à beira da rodovia, perturbado.","-43,467","-20,083",2,1
SpeciesLink,BHZB,3423,Chamaecrista mucronata,1226,"Fernandes, M.G.C.",2001,7,26,"Rando, J.G.",/01/2014,1,Brasil,MG,Ouro Preto,Estação Ecológica do Tripuí/ Trilha do Apiário-Vila,"-43,54","-20,379",1,1
SpeciesLink,BHZB,3432,Chamaecrista mucronata,1238,"Fernandes, M.G.C.",2001,9,19,"Rando, J.G.",2/12/2009,2,Brasil,MG,Ouro Preto,Estação Ecológica do Tripuí/ Trilha do Apiário- Vila,"-43,54","-20,379",1,1
J.G. Rando,ESA,82741,Chamaecrista mucronata,1569,"Folli, D.A.",1992,1,27,"Rando, J.G.",,2,Brasil,Espírito Santo,Linhares,Reserva Natural da CVRD,"-39,961","-19,139",1,1
Reflora,RB,RB00115879,Chamaecrista mucronata,2090,"Faria, S.M.",2000,9,17,Administrador,1/2/2017,2,Brasil,Minas Gerais,Mariana,"Estrada Samitri. Herbacea, floração amarela, com frutos passados, 2 mudas com nódulos.","-43,784","-19,88",1,1
SpeciesLink,HUEFS,141841,Chamaecrista mucronata,2402,"Rezende, S.G.",2008,3,7,,//,2,Brasil,Minas Gerais,Catas Altas,Região da Mina de Fabrica Nova.,"-43,432","-20,197",2,1
SpeciesLink,R,128221,Chamaecrista mucronata,2502,"Irwin, H.S.",1959,1,22,"Conceição, A.S.",3/8/1999,2,Brasil,Minas gerais,Mariana,10 km. N.E. of Mariana on road to Camargos,"-43,398","-20,286",1,1
SpeciesLink,BHCB,74899,Chamaecrista mucronata,3419,"Tameirão Neto, E",,,,,//,2,Brasil,Minas Gerais,Nova Lima,Mina do Capão Xavier.,"-43,965","-20,038",1,1
SpeciesLink,JPB,57105,Chamaecrista mucronata,3432,"Fernandes, MGC",2001,9,19,"Rando, J.G.",2/12/2009,1,Brasil,Minas Gerais,Ouro preto,"Estação ecológica do Tripu, Trilha do Apiário-Vila.","-43,542","-20,373",1,1
SpeciesLink,BHZB,8391,Chamaecrista mucronata,3674,"Rezende, S.G et al.",2009,7,28,"Rando, J.G.",/01/2014,1,Brasil,MG,Mariana,Mina Samarco - Norte de Alegria 1 e 6,"-43,515","-20,155",0,1
Reflora,RB,RB00143495,Chamaecrista mucronata,4052,H.C. de Lima,1990,12,12,Administrador,1/2/2017,2,Brasil,Minas Gerais,Ouro Preto,"parque estadual Itacolomi mata do Manso, base do Itacolomi. Parque Estadual Itacolomi","-43,501","-20,427",1,1
SpeciesLink,SP,127326,Chamaecrista mucronata,5971,Mello Barreto,1933,11,29,"Conceição, A.S.",8/4/2003,2,Brasil,Minas Gerais,Caeté,"Serra da Piedade, Campo","-43,678","-19,822",1,1
SpeciesLink,SPF,226170,Chamaecrista mucronata,7286,"Ferreira, MB",1978,9,8,"Cota, M.M.T.",/07/2015,1,Brasil,Minas Gerais,Caeté,Serra da Piedade; alto da serra.,"-43,678","-19,822",1,1
Reflora,RB,RB00146118,Chamaecrista mucronata,8371,D. Sucre,1972,2,1,Administrador,1/2/2017,2,Brasil,Espírito Santo,Linhares,DOCEMADE. Reserva Florestal de Linhares,"-39,961","-19,138",0,1
SpeciesLink,JPB,57096,Chamaecrista mucronata,8391,"Rezende, SG; et al.",2009,7,28,"Rando, J.G.",/01/2014,1,Brasil,Minas Gerais,Mariana,"Mina Sarmaco, #?# Norte de Alegria 1 e 6. Doação, sete soluções, BHCB 138419. Sobre minério de ferro","-43,515","-21,536",2,1
SpeciesLink,JPB,57085,Chamaecrista mucronata,9378,"Ferreira-Junior, CA; et al.",2012,9,19,"Rando, J.G.",/01/2013,1,Brasil,Minas Gerais,Santana do Riacho,"RPPN Brumas do Espinhaço e Ermo do Gerais, Levantamento florístico da RPPN Brumas do Espinhaço. Ramos apicais pendentes. Ponto 106 637362 7894769 1233 m. Doação de duplicata para herbário SPF em 2013. Flores amarelas","-43,716","-19,019",1,1
SpeciesLink,SPF,185704,Chamaecrista mucronata,29343,"Irwin, HS",1971,1,30,"Rando, J.G.",/09/2008,2,Brasil,Minas Gerais,Ouro Preto,Pico do Itacolomi.,"-43,495","-20,427",1,1
J.G. Rando,NY,960326,Chamaecrista mucronata,29680,H.S.Irwin,1971,2,2,"Rando, J.G.",,2,Brasil,Minas Gerais,Mariana,3 km ao Norte de Mariana sentido Santa Barbara,"-43,437","-20,344",1,1
SpeciesLink,UB,127371,Chamaecrista mucronata,30378,"Irwin, HS",1971,1,15,"Barneby, R.",//1982,2,Brasil,Minas Gerais,,"Ca. 35km E of Belo Horizonte, near BR-21","-43,726","-19,833",0,1
SpeciesLink,INPA,132316,Chamaecrista mucronata,46849,"Hatschbach, GG",1983,10,15,"Barneby, R.",//1984,2,Brasil,Minas Gerais,Realeza,"Realeza, arredores.","-42,164","-20,236",0,1
SpeciesLink,HUEFS,8675,Chamaecrista multinervia,55,"Vaillant, P.F.M.",1978,6,22,"Rando, J.G.",/09/2011,2,Brasil,Bahia,Ibicoara,,"-41,55","-13,517",2,1
J.G. Rando,RB,,Chamaecrista multinervia,13153,"Mori, S.",1979,12,22,"Rando, J.G.",,1,Brasil,Bahia,Mucugê,"3 km ao sul de Mucugê, estrada que vai para Jussiape","-41,41","-13,012",1,1
SpeciesLink,ESA,140069,Chamaecrista multinervia,40929,"Souza, V.C.",2017,7,20,"Souza, V.C.",26/07/2017,1,Brasil,Bahia,Rio de Contas,Cerca de 26 km de Rio de Contas em direção ao Pico do Itobira . Campo rupestre.,"-41,883","-13,384",1,1
SpeciesLink,MOBOT_BR,3235451,Chamaecrista multinervia,46500,"Hatschbach, G.",1983,5,16,"Barneby, R.",//1983,2,Brazil,Bahia,,Mato Grosso (mun. Rio de Contas). Nova para a Bahia.,"-41,811","-13,579",0,1
SpeciesLink,EAC,11406,Chamaecrista multinervia,s.n.,"Fernandes, A.",1982,5,18,"Fernandes, A.; Nunes, E.",30/09/1989,2,Brasil,Bahia,Bonito,"Afrânio Peixoto, estrada Tanquinho - Morro do Chap","-41,283","-11,968",1,1
SpeciesLink,HUFABC,1307,Chamaecrista olesiphylla,38,"Cota, M.M.T.; Araújo, F.F.; Moura, F.R.; Pedro, M.A.V.; Lourenço, A.P.; Garraffoni, A.R.S.",2010,7,10,"Cota, M.M.T.",22/05/2012,1,Brasil,Minas Gerais,Diamantina,"Parque Nacional das Sempre Vivas, Cerrado rupestre.","-43,633","-17,777",0,1
SpeciesLink,OUPR,27879,Chamaecrista olesiphylla,85,"Soldevila, A.C.; Fortuna-Perez, A.P.; Cândido, E.S.; Vieira, L.G.M.; Mansano, V.F. & Cota, M.",2014,3,24,"Cota, M.M.T.",24/03/2014,1,Brasil,Minas Gerais,São Gonçalo do Rio Preto,"Parque Estadual do Rio Preto, Trilha para Cachoeira do Crioulo. Coletada em areial próximo a cachoeira. Solo arenoso. Cerrado/Campo rupestre quartzítico","-43,369","-18,146",0,1
SpeciesLink,HUFU,58514,Chamaecrista olesiphylla,111,"Rezende, A.R.; Marques, D.; Pêgo, P.T. & Pádua, K.J.M.",2010,9,22,"Rando, J.G.",24/05/2012,2,Brasil,Minas Gerais,Diamantina,"Estrada Diamantina-Conselheiro Mata, Estrada Diamantina-Conselheiro, km 172.","-43,844","-18,304",0,1
SpeciesLink,SPF,226128,Chamaecrista olesiphylla,162,"Sakuragui, C.M.",1990,8,4,"Cota, M.M.T.",/03/2016,2,Brasil,Minas Gerais,Diamantina,"Lado esquerdo da Rod. Diamantina - Curvelo, ca. 4.5 km da cidade.","-43,663","-18,238",0,1
SpeciesLink,SPF,210311,Chamaecrista olesiphylla,240,"Borges, L.M.",2007,11,19,"Rando, J.G.",//2010,1,Brasil,Minas Gerais,Santana de Pirapama,"Serra do Cipó, Vilarejo Inhame. Trilha para o topo da Serra a partir da porteira azul na estrada vilarejo - Faz. Toucan Cipó.","-43,785","-18,966",0,1
SpeciesLink,SPF,221543,Chamaecrista olesiphylla,265,"Hemsing, P.K.B.",2010,9,22,"Rando, J.G.",24/05/2012,2,Brasil,Minas Gerais,Diamantina,"Estrada Diamantina-Conselheiro Mata, km 172.","-43,844","-18,304",0,1
SpeciesLink,SPF,219014,Chamaecrista olesiphylla,284,"Siniscalchi, C.M.",2011,10,23,"Cota, M.M.T.",/10/2015,1,Brasil,Minas Gerais,Itambé do Mato Dentro,"Serra do Cipó, Distrito de Santana do Rio Preto. Cabeça de Boi. Estrada Itambé do Mato Dentro-Santana do Rio Preto (Cabeça de Boi). Montanhas à esquerda da estrada, ca. 5 km de Santana do Rio Preto. Solo arenoso, com afloramentos quartzíticos.","-43,359","-19,413",0,1
SpeciesLink,BHZB,8568,Chamaecrista olesiphylla,413,"Andrade, I.R. et al.",2012,5,17,"Rando, J.G.",/01/2013,1,Brasil,MG,Santana do Riacho,RPPN Brumas do Espinhaço e Ermo dos Gerais,"-43,711","-19,043",0,1
SpeciesLink,HUEFS,94229,Chamaecrista olesiphylla,508,"Nascimento, J.G.A.do",2005,3,31,"Queiroz, L.P. de",/04/2011,2,Brasil,Minas Gerais,Conceição do Mato Dentro,Tabuleiro.,"-43,566","-19,086",0,1
SpeciesLink,SPF,221920,Chamaecrista olesiphylla,700,"Cota, M.M.T.",2014,3,28,"Cota, M.M.T.",10/3/2015,1,Brasil,Minas Gerais,São Gonçalo do Rio Preto,"Parque Estadual do Rio Preto, Trilha para as corredeiras.","-43,334","-18,134",0,1
SpeciesLink,NYBG,1144730,Chamaecrista olesiphylla,707,"Neto, L.M.",2009,5,24,"Cota, M.M.T.",//2015,2,Brazil,Minas Gerais,Alvorada de Minas,"Alvorada da Serra. Distrito de Itapanhoacanga, estrada para Cachoeira Campin, a 3 km de Itapanhoacanga.","-43,443","-18,798",0,1
